aaron	a: r O n
búnaðar	p u: n a D a r
búnaðarþingi	p u: n a D a r_0 T i J c I
búnaðarþing	p u: n a D a r T i N k
búnaðinn	p u: n a D I n
búnaði	p u: n a D I
búnað	p u: n a D
búnaðurinn	p u: n a D Y r I n
búnaður	p u: n a D Y r
búnar	p u: n a r
búninga	p u: n i N k a
búningar	p u: n i N k a r
búningi	p u: n i J c I
búningnum	p u: n i N n Y m
búning	p u: n i N k
búningsherberginu	p u: n i N s h E r p E r c I n Y
búningsherbergi	p u: n i N s h E r p E r c I
búningsklefanum	p u: n i N s k_h l E v a n Y m
búningsklefa	p u: n i N s k_h l E v a
búningum	p u: n i N k Y m
búnir	p u: n I r
búnu	p u: n Y
bú	p u:
búrinu	p u: r I n Y
búri	p u: r I
búrma	p u r m a
búr	p u: r
búseta	p u: s E t a
búsettir	p u: s E h t I r
búsett	p u: s E h t
búsettur	p u: s E h t Y r
búsetu	p u: s E t Y
búsins	p u: s I n s
búskapinn	p u s k a p I n
búskapnum	p u: s k a h p n Y m
búskap	p u: s k a p
búskapur	p u: s k a p Y r
bús	p u: s
bústaðakirkja	p u s t a D a c_h I r_0 c a
bústaðakirkju	p u s t a D a c_h I r_0 c Y
bústaðavegi	p u s t a D a v ei j I
bústaðinn	p u s t a D I n
bústaðnum	p u: s t a D n Y m
bústað	p u: s t a D
bústna	p u s t n a
bútur	p u: t Y r
búum	p u: Y m
búumst	p u: Y m s t
búvara	p u: v a r a
búvörum	p u: v 9 r Y m
búvörusamninga	p u: v 9 r Y s a m n i N k a
bxe	p j E: E k s E
byði	p I: D I
byggðaáætlun	p I G D a au ai h t l Y n
byggðakvóta	p I G D a k_h v ou t a
byggðamál	p I G D a m au l
byggða	p I G D a
byggðarinnar	p I G D a r I n a r
byggðarlaga	p I G D a r l a G a
byggðarlagið	p I G D a r l ai j I D
byggðarlaginu	p I G D a r l ai j I n Y
byggðarlagi	p I G D a r l ai j I
byggðarlög	p I G D a r l 9 G
byggðarlögum	p I G D a r l 9 G Y m
byggðar	p I G D a r
byggðasafnið	p I G D a s a p n I D
byggðasafn	p I G D a s a p n_0
byggðastefnu	p I G D a s t E p n Y
byggðastofnunar	p I G D a s t O p n Y n a r
byggðastofnun	p I G D a s t O p n Y n
byggðaþróun	p I G D a T r ou Y n
byggðina	p I G D I n a
byggðinni	p I G D I n I
byggðin	p I G D I n
byggði	p I G D I
byggðirnar	p I G D I r t n a r
byggðir	p I G D I r
byggðist	p I G D I s t
byggð	p I G D
byggðum	p I G D Y m
byggðu	p I G D Y
byggðust	p I G D Y s t
byggingadeild	p I c i N k a t ei l t
byggingaframkvæmdir	p I c i N k a f r a m k_h v ai m t I r
byggingafulltrúa	p I c i N k a f Y t l_0 t_h r u a
bygginganefndar	p I c i N k a n E m t a r
bygginga	p I c i N k a
byggingaraðila	p I c i N k a r a D I l a
byggingarefni	p I c i N k a r E p n I
byggingarframkvæmdir	p I c i N k a r f r a m k_h v ai m t I r
byggingarfulltrúi	p I c i N k a r_0 f Y t l_0 t_h r u I
byggingariðnaðarins	p I c i N k a r I D n a D a r I n s
byggingariðnaði	p I c i N k a r I D n a D I
byggingarinnar	p I c i N k a r I n a r
byggingarkostnaðar	p I c i N k a r_0 k_h O s t n a D a r
byggingarkostnaði	p I c i N k a r_0 k_h O s t n a D I
byggingarlaga	p I c i N k a r l a G a
byggingarland	p I c i N k a r l a n t
byggingarleyfi	p I c i N k a r l ei v I
byggingarlist	p I c i N k a r l I s t
byggingarnar	p I c i N k a r t n a r
byggingarnefndarinnar	p I c i N k a r n E m t a r I n a r
byggingarnefndar	p I c i N k a r n E m t a r
byggingarnefnd	p I c i N k a r n E m t
byggingar	p I c i N k a r
byggingarreglugerð	p I c i N k a r E k l Y c E r D
byggingarreitir	p I c i N k a r ei t I r
byggingarsjóði	p I c i N k a r_0 s j ou D I
byggingarsjóðs	p I c i N k a r_0 s j ou D s
byggingarstaðli	p I c i N k a r_0 s t a D l I
byggingarstjóra	p I c i N k a r_0 s t j ou r a
byggingarstjóri	p I c i N k a r_0 s t j ou r I
byggingarsvæði	p I c i N k a r_0 s v ai D I
byggingastjóra	p I c i N k a s t j ou r a
byggingaverktaka	p I c i N k a v E r_0 t_h a k a
byggingin	p I c i J c I n
bygging	p I c i N k
byggingum	p I c i N k Y m
bygginguna	p I c i N k Y n a
byggingunni	p I c i N k Y n I
byggingu	p I c i N k Y
byggi	p I c I
byggir	p I c I r
byggist	p I c I s t
byggja	p I c a
byggjast	p I c a s t
byggjum	p I c Y m
byggju	p I c Y
bygg	p I k
byggst	p I x s t
byko	p i: k_h ou
bylgja	p I l c a
bylgjast	p I l c a s t
bylgjulengd	p I l c Y l ei N t
bylgjunnar	p I l c Y n a r
bylgjunni	p I l c Y n I
bylgju	p I l c Y
bylgjur	p I l c Y r
bylmingshögg	p I l m i N s h 9 k
bylta	p I l_0 t a
byltingarinnar	p I l_0 t i N k a r I n a r
byltingarmanni	p I l_0 t i N k a r m a n I
byltingartorgið	p I l_0 t i N k a r_0 t_h O r c I D
byltingin	p I l_0 t i J c I n
bylting	p I l_0 t i N k
byltinguna	p I l_0 t i N k Y n a
byltingunni	p I l_0 t i N k Y n I
byltingu	p I l_0 t i N k Y
bylur	p I: l Y r
byrðar	p I r D a r
byrði	p I r D I
byrgðu	p I r D Y
byrginu	p I r c I n Y
byrgisins	p I r c I s I n s
byrgja	p I r c a
byrjaði	p I r j a D I
byrjaðir	p I r j a D I r
byrjað	p I r j a D
byrjaður	p I r j a D Y r
byrja	p I r j a
byrjar	p I r j a r
byrjendahjálp	p I r j E n t a C au l_0 p
byrjendakeppni	p I r j E n t a c_h E h p n I
byrjendur	p I r j E n t Y r
byrji	p I r j I
byrjuð	p I r j Y D
byrjuðum	p I r j Y D Y m
byrjuðu	p I r j Y D Y
byrjum	p I r j Y m
byrjunareinkenni	p I r j Y n a r ei J c_h E n I
byrjunarliðið	p I r j Y n a r l I D I D
byrjunarliðin	p I r j Y n a r l I D I n
byrjunarliðinu	p I r j Y n a r l I D I n Y
byrjunarliði	p I r j Y n a r l I D I
byrjunarlið	p I r j Y n a r l I D
byrjunarreit	p I r j Y n a r ei t
byrjunarstigi	p I r j Y n a r_0 s t i j I
byrjunin	p I r j Y n I n
byrjun	p I r j Y n
byr	p I: r
byrs	p I r_0 s
byssa	p I s a
byssuhlaupið	p I s Y l_0 9i p I D
byssum	p I s Y m
byssuna	p I s Y n a
byssunni	p I s Y n I
byssu	p I s Y
byssur	p I s Y r
byssustingjum	p I s Y s t i J c Y m
býð	p i: D
býðst	p i D s t
býður	p i: D Y r
býfluga	p i: f l Y G a
býli	p i: l I
bý	p i:
býr	p i: r
býsna	p i s t n a
býsn	p i s t n_0
býst	p i s t
býtum	p i: t Y m
bæði	p ai: D I
bægði	p ai G D I
bægja	p ai j a
bægt	p ai x t
bæinn	p ai j I n
bæi	p ai j I
bæir	p ai j I r
bæja	p ai j a
bæjarbraginn	p ai j a r p r ai j I n
bæjarbúa	p ai j a r_0 p u a
bæjarbúar	p ai j a r_0 p u a r
bæjarbúum	p ai j a r_0 p u Y m
bæjardyrum	p ai j a r t I r Y m
bæjarfélagið	p ai j a r_0 f j E l ai j I D
bæjarfélaginu	p ai j a r_0 f j E l ai j I n Y
bæjarfélagi	p ai j a r_0 f j E l ai j I
bæjarfélag	p ai j a r_0 f j E l a G
bæjarfélagsins	p ai j a r_0 f j E l a x s I n s
bæjarfélög	p ai j a r_0 f j E l 9 G
bæjarfélögum	p ai j a r_0 f j E l 9 G Y m
bæjarflöt	p ai j a r_0 f l 9 t
bæjarfógetaembættinu	p ai: j a r_0 f ou c E t a E m p ai h t I n Y
bæjarfógetaembætti	p ai: j a r_0 f ou c E t a E m p ai h t I
bæjarfógetafulltrúi	p ai j a r_0 f ou c E t a f Y t l_0 t_h r u I
bæjarfógetans	p ai j a r_0 f ou c E t a n s
bæjarfógetanum	p ai j a r_0 f ou c E t a n Y m
bæjarfógeta	p ai j a r_0 f ou c E t a
bæjarfógetar	p ai j a r_0 f ou c E t a r
bæjarfógetinn	p ai j a r_0 f ou c E t I n
bæjarfógeti	p ai j a r_0 f ou c E t I
bæjarfulltrúa	p ai j a r_0 f Y t l_0 t_h r u a
bæjarfulltrúar	p ai j a r_0 f Y t l_0 t_h r u a r
bæjarfulltrúi	p ai j a r_0 f Y t l_0 t_h r u I
bæjarfulltrúum	p ai: j a r_0 f Y t l_0 t_h r u Y m
bæjargöngin	p ai j a r_0 k 9i J c I n
bæjarins	p ai j a r I n s
bæjar	p ai j a r
bæjarráði	p ai j a r au D I
bæjarráð	p ai j a r au D
bæjarráðs	p ai j a r au D s
bæjarsjóðs	p ai j a r_0 s j ou D s
bæjarstjórans	p ai j a r_0 s t j ou r a n s
bæjarstjóra	p ai j a r_0 s t j ou r a
bæjarstjórinn	p ai j a r_0 s t j ou r I n
bæjarstjóri	p ai j a r_0 s t j ou r I
bæjarstjórnarfundi	p ai j a r_0 s t j ou r t n a r_0 f Y n t I
bæjarstjórnar	p ai j a r_0 s t j ou r t n a r
bæjarstjórnin	p ai j a r_0 s t j ou r t n I n
bæjarstjórn	p ai j a r_0 s t j ou r t n_0
bæjarútgerðinni	p ai j a r u t c E r D I n I
bæjaryfirvalda	p ai j a r I v I r v a l t a
bæjaryfirvöld	p ai j a r I v I r v 9 l t
bæjaryfirvöldum	p ai j a r I v I r v 9 l t Y m
bæjum	p ai: j Y m
bæjunum	p ai: j O n Y m
bækistöðvar	p ai: c I s t 9 D v a r
bæklingi	p ai h k l i J c I
bæklingnum	p ai h k l i N n Y m
bækling	p ai h k l i N k
bæklingum	p ai h k l i N k Y m
bæklingur	p ai h k l i N k Y r
bækurnar	p ai: k Y r t n a r
bækur	p ai: k Y r
bæla	p ai: l a
bæli	p ai: l I
bænaefnum	p ai: n a E p n Y m
bænahópur	p ai: n a h ou p Y r
bænamessa	p ai: n a m E s a
bænarskjalið	p ai: n a r_0 s c a l I D
bænastund	p ai: n a s t Y n t
bændablaðið	p ai n t a p l a D I D
bændanna	p ai n t a n a
bænda	p ai n t a
bændasamtakanna	p ai n t a s a m t_h a k a n a
bændasamtaka	p ai n t a s a m t_h a k a
bændasamtökin	p ai n t a s a m t_h 9 c I n
bændasamtök	p ai n t a s a m t_h 9 k
bændasamtökum	p ai n t a s a m t_h 9 k Y m
bændum	p ai n t Y m
bændurnir	p ai n t Y r t n I r
bændur	p ai n t Y r
bænir	p ai: n I r
bæn	p ai: n
bænum	p ai: n Y m
bæ	p ai:
bærilega	p ai: r I l E G a
bæringsson	p ai: r i N s O n
bærinn	p ai: r I n
bæri	p ai: r I
bærist	p ai: r I s t
bær	p ai: r
bærum	p ai: r Y m
bæru	p ai: r Y
bærust	p ai: r Y s t
bæst	p ai s t
bæta	p ai: t a
bætast	p ai: t a s t
bætið	p ai: t I D
bæti	p ai: t I
bætir	p ai: t I r
bætist	p ai: t I s t
bættar	p ai h t a r
bætti	p ai h t I
bættist	p ai h t I s t
bætt	p ai h t
bættra	p ai h t r a
bættrar	p ai h t r a r
bættri	p ai h t r I
bættum	p ai h t Y m
bættu	p ai h t Y
bættur	p ai h t Y r
bættust	p ai h t Y s t
bætum	p ai: t Y m
bæturnar	p ai: t Y r t n a r
bætur	p ai: t Y r
böðun	p 9: D Y n
böðvar	p 9 D v a r
böðvarssonar	p 9 D v a r_0 s O n a r
böðvarsson	p 9 D v a r_0 s O n
bögglast	p 9 k l a s t
böggul	p 9 k Y l
böggum	p 9 k Y m
böggunum	p 9 k O n Y m
bökkum	p 9 h k Y m
bökum	p 9: k Y m
bökunarsóda	p 9: k Y n a r_0 s ou t a
böllinn	p 9 t l I n
böllin	p 9 l I n
böll	p 9 t l_0
böllum	p 9 t l Y m
böllunum	p 9 l O n Y m
böllurinn	p 9 t l Y r I n
böllur	p 9 t l Y r
böl	p 9: l
böndin	p 9 n t I n
bönd	p 9 n t
böndum	p 9 n t Y m
böndunum	p 9 n t O n Y m
böngsum	p 9i N s Y m
bönkunum	p 9i N_0 k O n Y m
bönn	p 9 n
bönnuð	p 9 n Y D
bönnuðu	p 9 n Y D Y
börðust	p 9 r D Y s t
börkur	p 9 r_0 k Y r
börnin	p 9 r t n I n
börn	p 9 r t n_0
börnum	p 9 r t n Y m
börnunum	p 9 r t n O n Y m
börsunga	p 9 r_0 s u N k a
börsungar	p 9 r_0 s u N k a r
börum	p 9: r Y m
börurnar	p 9: r Y r t n a r
cab	k_h a: p
cache	k_h a s
cactus	k_h a x t Y s
cahill	c_h ei: h I l
cake	k_h ei: k
calculator	k_h a l_0 k j u l ei t O r
called	k_h O l t
calling	k_h O l i N
calls	k_h O l s
calm	k_h O l m
calorie	k_h a: l O r i
cambria	k_h a m p r i j a
cambridge	c_h ei m p r I t s
camera	k_h a: m E r a
cameron	k_h a: m E r O n
camilla	k_h a: m I l a
camillu	k_h a: m I l Y
campbell	k_h a m_0 p E l
camp	k_h a m_0 p
canada	k_h a: n a t a
cancelled	k_h a n s E l t
cancer	k_h a n s E r
candidate	k_h a n t I t ei t
cannes	k_h a n
cannot	k_h a n O t
can't	k_h a n_0 t
cant	k_h a n_0 t
capcut	k_h a p k_h 9 t
captured	k_h a p t s j u r t
caravan	k_h a: r a v a n
carbon	k_h a r p O n
cardiff	k_h a r_0 t I f
card	k_h a r t
care	c_h E: r
carl	k_h a r l
carlo	k_h a r l ou
carlos	k_h a r l O s
carlsen	k_h a r l s E n
caroline	k_h a: r O l ai n
carragher	k_h a r a c E r
carrick	k_h a r I h k
carried	k_h a r i t
carroll	k_h a r O l
carry	k_h a r i
cars	k_h a r_0 s
carter	k_h a r_0 t E r
case	c_h ei: s
cases	c_h ei: s E s
cash	k_h a s
ca	s I r_0 k a
castro	k_h a s t r ou
casual	k_h a s j u a l
catching	k_h a t s j i N
catch	k_h a t s
catherine	k_h a T r I n
cat	k_h a t
caught	k_h O: t
caused	k_h O: s t
cause	k_h O: s
cave	c_h ei: v
cayenne	k_h ai: j E n
cbs	s j E: p j E E s
cc	s j E: s j E
cech	t s j E h k
celebrate	s E l E p r ei t
cell	s E l
celtic	s E l_0 t I k
center	s E n_0 t E r
centers	s E n_0 t E r_0 s
central	s E n_0 t r a l
centre	s E n_0 t E r
century	s E n_0 t j u r i
ceo	s i: i: ou:
ceremony	s E r E m ou n i
certainly	s 9 r_0 t E n l i
certain	s 9 r_0 t E n
chains	t s j ei: n s
chain	t s j ei: n
challenge	t s j a l E n t s
chamber	t s j ei: m p E r
championships	t s j a m_0 p i j O n s j I p s
champions	t s j a m_0 p i j O n s
champion	t s j a m_0 p i j O n
chance	t s j a n s
changed	t s j ei: n t s t
changes	t s j ei: n t j E s
changing	t s j ei: n t j i N
channel	t s j a n E l
chan	t s j a: n
chaos	c_h ei: O s
chapter	t s j a p t E r
charges	t s j a r t s j E s
charge	t s j a r t s
charity	t s j a: r I t i
charles	t s j a r l s
charlie	t s j a r l i
charlotte	s j a r l O h t
charlton	t s j a r l_0 t O n
charming	t j a r m i N
chartered	t s j a r_0 t E r t
cha	t s j a:
chat	t s j a t
chavez	t s j a: v E s
check	t s j E h k
cheese	t s j i: s
chef	s j E f
chelsea	t s j E l s i
chemical	c_h E m I k a l
chevrolet	s j E v r O l E t
chia	t s j i: j a
chicken	t s j I h k E n
chiefs	t s j i f s
chief	t s j i f
childhood	t s j ai: l t h u t
child	t s j ai: l t
chile	t s j i: l E
chili	t s j I l i
chill	t s j I l
chinese	t s j ai: n i s
chips	t s j I p s
chip	t s j I p
chi	t s j i:
chocolate	t s j O h k l E t
choice	t s j Oi s
choir	k_h v ai: 9 r
choose	t s j u: s
chosen	t s j ou: s E n
chris	k_h r I s
christensen	k_h r I s t E n s E n
christian	k_h r I s t j a n
christiansen	k_h r I s t j a n s E n
christ	k_h r ai s t
christmas	k_h r I s t m a s
christopher	k_h r I s t O f E r
chrome	k_h r ou: m
chronicle	k_h r O: n I k u l
chuck	t s j 9 h k
church	t s j 9 r t s
chutney	t s j 9 h t n i
cia	s i: ai: ei:
cinema	s I n E m a
circumstances	s 9 r_0 k Y m s t a n s E s
circus	s 9 r_0 k Y s
cities	s I t i s
citizens	s I t I s E n s
city	s I t i
ciudad	s i j Y t a t
civic	s I v I k
civil	s I v I l
cís-moll	s i: s m O l
claim	k_h l ei: m
claims	k_h l ei: m s
clan	k_h l a: n
clarke	k_h l a r_0 k
clark	k_h l a r_0 k
clash	k_h l a s
classic	k_h l a s I k
classics	k_h l a s I k s
claudio	k_h l au: t i j ou
claus	k l O: s
cleaner	k_h l i: n E r
clean	k_h l i: n
clear	k_h l i: r
clearly	k_h l i: r l i
cleveland	k_h l i: v l a n t
click	k_h l I h k
climate	k_h l ai: m E t
clinical	k_h l I n I k a l
clinic	k_h l I n I k
clinton	k_h l I n_0 t O n
clooney	k_h l u: n i
closed	k_h l ou: s t
close	k_h l ou: s
closely	k_h l ou: s t l i
closer	k_h l ou: s E r
clothes	k_h l ou: D s
clothing	k_h l ou: D i N
cloud	k_h l au: t
clouds	k_h l au: t s
club	k_h l 9 p
c-moll	s j E: m O l
cnn	s j E: E n E n
coach	k_h ou t s
coast	k_h ou s t
coca	k_h ou: k a
cocktail	k_h O h k t ei l
code	k_h ou: t
cod	k_h O: t
coffee	k_h O f i
cohen	k_h ou: E n
co	k_h ou:
cola	k_h ou: l a
cold	k_h ou: l t
cole	k_h ou: l
coleman	k_h ou: l m a n
coli	k_h O l i
colin	k_h O l I n
collie	k_h O l i
collins	k_h O l I n s
colorful	k_h O l O r_0 f u l
color	k_h O l O r
colour	k_h O l O r
comeback	k_h O m p a h k
comedy	k_h O m E t i
come	k_h O m
comes	k_h O m s
comfort	k_h O m f O r_0 t
comics	k_h O m I k s
coming	k_h O m i N
com	k_h O m
comment	k_h O m E n_0 t
comments	k_h O m E n_0 t s
common	k_h O m O n
commons	k_h O m O n s
compact	k_h O m p_h a x t
companies	k_h O m_0 p a n i s
complex	k_h O m p_h l E k s
concept	k_h O n s E p t
concert	k_h O n s E r_0 t
concerts	k_h O n s E r_0 t s
conference	k_h O n f E r E n s
congress	k_h O N k r E s
con	k_h O n
contacted	k_h O n t_h a x t E t
contact	k_h O n t_h a x t
conte	k_h O n_0 t E
content	k_h O n t_h E n_0 t
contest	k_h O n t_h E s t
context	k_h O n t_h E k s t
contract	k_h O n t_h r a x t
cook	k_h u k
cool	k_h u: l
cooper	k_h u p E r
copy	k_h O h p i
core	k_h O: r
corporate	k_h O r_0 p O r E t
cosby	k_h O s p i
costa	k_h O s t a
costco	k_h O s k ou
cost	k_h O s t
costs	k_h O s t s
could	k_h Y t
couldn't	k_h Y t n t
council	k_h au: n s I l
counter	k_h au n_0 t E r
country's	k_h au n_0 t r i s
coupe	k_h u: p
couple	k_h 9 h p u l
courage	k_h 9 r E t s
course	k_h O r_0 s
court	k_h O r_0 t
courts	k_h O r_0 t s
coventry	k_h O v E n_0 t r i
covered	k_h O v E r t
cover	k_h O v E r
covid	k_h ou: v I t
cox	k_h O k s
craft	k_h r a f t
craig	k_h r ei k
crash	k_h r a s
crazy	k_h r ei: s i
cream	k_h r i: m
creatures	k_h r i: t_h j Y r_0 s
credit	k_h r E: t I t
creek	k_h r i: k
crew	k_h r u:
crime	k_h r ai: m
criminal	k_h r I m I n a l
crisis	k_h r ai: s I s
critical	k_h r I t I k a l
crossing	k_h r O s i N
cross	k_h r O s
crouch	k_h r au t s
crowd	k_h r au: t
crown	k_h r au: n
cruise	k_h r u: s
cruises	k_h r u: s E s
crush	k_h r 9 s
cruz	k_h r u: s
cry	k_h r ai:
crystal	k_h r I s t a l
culpa	k_h u l_0 p a
cult	k_h 9 l_0 t
cultural	k_h 9 l_0 t j u r a l
culture	k_h 9 l_0 t j u r
cumin	k_h j u: m I n
cup	k_h 9 p
cure	k_h j u: r
currency	k_h 9 r E n s i
current	k_h 9 r E n_0 t
curry	k_h 9 r i
customers	k_h 9 s t O m E r_0 s
cut	k_h 9 t
cycles	s ai: k u l s
cycling	s ai k l i N
cyrus	s ai: r 9 s
dabbi	t a p I
dadda	t a t a
daddi	t a t I
dad	t a: t
daðason	t a: D a s O n
daða	t a: D a
daði	t a: D I
dafnað	t a p n a D
dafna	t a p n a
daft	t a f t
dagana	t a: G a n a
daganna	t a: G a n a
dagarnir	t a: G a r t n I r
dagar	t a: G a r
daga	t a: G a
dagatal	t a: G a t_h a l
dagbjartsdóttir	t a G p j a r_0 t s t ou h t I r
dagbjartsson	t a G p j a r_0 t s O n
dagbjartur	t a G p j a r_0 t Y r
dagbjört	t a G p j 9 r_0 t
dagbladet	t a G p l a t E t
dagblaða	t a G p l a D a
dagblaðið	t a G p l a D I D
dagblaðinu	t a G p l a D I n Y
dagblaði	t a G p l a D I
dagblaðsins	t a G p l a D s I n s
dagblað	t a G p l a D
dagblöðin	t a G p l 9 D I n
dagblöð	t a G p l 9 D
dagblöðum	t a G p l 9 D Y m
dagbókarfærslur	t a G p ou k a r_0 f ai r_0 s t l Y r
dagbók	t a G p ou k
dagens	t a: G E n s
daggardropanna	t a k a r_0 t r O p a n a
daggar	t a k a r
daggjöld	t a G c 9 l t
daginn	t ai j I n
daglegan	t a G l E G a n
daglegar	t a G l E G a r
daglega	t a G l E G a
daglegra	t a G l E G r a
daglegri	t a G l E G r I
daglegs	t a G l E x s
dagleg	t a G l E G
daglegt	t a G l E x t
daglegum	t a G l E G Y m
daglegur	t a G l E G Y r
daglegu	t a G l E G Y
dagmar	t a G m a r
dagmömmunnar	t a G m 9 m Y n a r
dagnýju	t a G n i j Y
dagný	t a G n i
dagpeninga	t a G p_h E n i N k a
dagsbirtan	t a x s p I r_0 t a n
dagsbrúnar	t a x s p r u n a r
dagsbrún	t a x s p r u n
dagsdóttir	t a x s t ou h t I r
dagsektir	t a x s E x t I r
dagsektum	t a x s E x t Y m
dagsetningar	t a x s E h t n i N k a r
dagsetningin	t a x s E h t n i J c I n
dagsetning	t a x s E h t n i N k
dagsetninguna	t a x s E h t n i N k Y n a
dagsetningu	t a x s E h t n i N k Y
dagsettri	t a x s E h t r I
dagsett	t a x s E h t
dagsettum	t a x s E h t Y m
dagsettur	t a x s E h t Y r
dagsettu	t a x s E h t Y
dagsins	t a x s I n s
dagskráin	t a x s k r au I n
dagskrána	t a x s k r au n a
dagskránni	t a x s k r au n I
dagskrárbrot	t a x s k r au r p r O t
dagskrárgerð	t a x s k r au r_0 c E r D
dagskrárlok	t a x s k r au r l O k
dagskrárnefndinni	t a x s k r au r n E m t I n I
dagskrárstjóri	t a x s k r au r_0 s t j ou r I
dagskrár	t a x s k r au r
dagskrá	t a x s k r au
dagsljósið	t a x s t l j ou s I D
dagsson	t a x s O n
dags	t a x s
dagstofunni	t a x s t O v Y n I
dag	t a: G
dagurinn	t a: G Y r I n
dagur	t a: G Y r
dagvaktinni	t a G v a x t I n I
dagvinnu	t a G v I n Y
daher	t a h E r
dahl	t a: l
daily	t ei: l i
dalabyggðar	t a: l a p I G D a r
dalabyggð	t a: l a p I G D
dalai	t a: l ai
dalasýslu	t a: l a s i s t l Y
dala	t a: l a
dalbraut	t a l p r 9i t
dalbæ	t a l p ai
dalglish	t a k I s
dalinn	t a: l I n
dalir	t a: l I r
dali	t a: l I
dallas	t a l a s
dalla	t a t l a
dallinn	t a t l I n
dalnum	t a l n Y m
dalslóðann	t a l s t l ou D a n
dalsmynni	t a l s m I n I
dal	t a: l
dalverpi	t a l v E r_0 p I
dalvík	t a l v i k
dalvíkurbyggðar	t a l v i k Y r p I G D a r
dalvíkurbyggð	t a l v i k Y r p I G D
dalvíkur	t a l v i k Y r
damage	t a: m E t s
damaskus	t a: m a s k Y s
damien	t ei: m i j E n
damon	t ei: m O n
dampi	t a m_0 p I
dana	t a: n a
dancer	t a n s E r
dance	t a n s
dancing	t a n s i N
dangerous	t ei n t s j E r 9 s
danger	t ei n t s j E r
danglaði	t au N l a D I
danglað	t au N l a D
danglandi	t au N l a n t I
danglar	t au N l a r
danglast	t au N l a s t
dangla	t au N l a
daniels	t a: n i j E l s
daniel	t a: n i E l
daninn	t a: n I n
danirnir	t a: n I r t n I r
danir	t a: n I r
danish	t ei: n I s
dani	t a: n I
daníella	t a: n i j E l a
daníelsdóttir	t a: n i j E l s t ou h t I r
daníelsson	t a: n i j E l s O n
daníels	t a: n i j E l s
daníel	t a: n i E l
danmerkur	t a n m E r_0 k Y r
danmörk	t a n m 9 r_0 k
danmörku	t a n m 9 r_0 k Y
dann	t a n
danny	t a n i
dansaði	t a n s a D I
dansað	t a n s a D
dansarar	t a n s a r a r
dansara	t a n s a r a
dansari	t a n s a r I
dansa	t a n s a
dansflokksins	t a n s f l O h k s I n s
dansflokkurinn	t a n s f l O h k Y r I n
dansgólfið	t a n s k ou l v I D
dansiballið	t a n s I p a l I D
dansiballi	t a n s I p a l I
dansiball	t a n s I p a l
dansiböllin	t a n s I p 9 l I n
dansiböll	t a n s I p 9 l
dansiböllum	t a n s I p 9 l Y m
dansinn	t a n s I n
dansinum	t a n s I n Y m
dansi	t a n s I
danskan	t a n s k a n
danskar	t a n s k a r
danska	t a n s k a
danske	t a n s c E
danskir	t a n s c I r
danski	t a n s c I
danskra	t a n s k r a
danskt	t a n s t
danskur	t a n s k Y r
dansleik	t a n s t l ei k
dansleikur	t a n s t l ei k Y r
dansnótta	t a n s t n ou h t a
dans	t a n s
dansverk	t a n s v E r_0 k
dan	t a: n
daprir	t a: p r I r
dapurlegar	t a: p Y r l E G a r
dapurleg	t a: p Y r l E G
dapurlegt	t a: p Y r l E x t
dapur	t a: p Y r
dapurt	t a: p Y r_0 t
darfur	t a r v Y r
darker	t a r_0 k E r
darkness	t a r_0 k n E s
dark	t a r_0 k
darling	t a r l i N k
darrasyni	t a r a s I n I
darra	t a r a
darren	t a r E n
darri	t a r I
das	t a: s
database	t ei: t a p ei s
data	t a: t a
date	t ei: t
dating	t ei: t i N
datt	t a h t
dauðadags	t 9i: D a t a x s
dauðadómur	t 9i: D a t ou m Y r
dauðadrukkinn	t 9i: D a t r Y h c I n
dauðafæri	t 9i: D a f ai r I
dauðann	t 9i: D a n
dauðans	t 9i: D a n s
dauðanum	t 9i: D a n Y m
dauðarefsing	t 9i: D a r E f s i N k
dauðaslys	t 9i: D a s t l I s
dauða	t 9i: D a
dauðdagi	t 9i D t ai j I
dauðhræddur	t 9i D r_0 ai t Y r
